THRESHOLD 10
Execution time size 1 pattern: 24s
5.25158% of extensions found (28201 elements)
2.14357% of extensions found (6290 elements)
12.5081% of extensions found (70358 elements)
21.1588% of extensions found (36499 elements)
70.0345% of extensions found (393944 elements)
65.2942% of extensions found (367280 elements)
5.18026% of extensions found (27818 elements)
0.721368% of extensions found (2321 elements)
19.3101% of extensions found (33310 elements)
70.3003% of extensions found (395439 elements)
64.9298% of extensions found (365230 elements)
5.07672% of extensions found (27262 elements)
17.3542% of extensions found (29936 elements)
71.2146% of extensions found (400582 elements)
63.8873% of extensions found (359366 elements)
5.19125% of extensions found (27877 elements)
18.1791% of extensions found (31359 elements)
64.9458% of extensions found (365320 elements)
5.33762% of extensions found (28663 elements)
52.4873% of extensions found (295241 elements)
5.19404% of extensions found (27892 elements)
5.46499% of extensions found (29347 elements)
Execution time : 2096s

THRESHOLD 1000
Execution time size 1 pattern: 27s
34.2537% of extensions found (139070 elements)
5.88824% of extensions found (36566 elements)
50.2635% of extensions found (352850 elements)
4.06373% of extensions found (4145 elements)
43.5903% of extensions found (435903 elements)
12.5914% of extensions found (20524 elements)
48.3811% of extensions found (483811 elements)
77.7077% of extensions found (777077 elements)
5.70409% of extensions found (52934 elements)
7.92977% of extensions found (19993 elements)
20.6662% of extensions found (145077 elements)
3.8451% of extensions found (3922 elements)
50.9512% of extensions found (509512 elements)
13.4325% of extensions found (21895 elements)
47.9349% of extensions found (479349 elements)
79.62% of extensions found (796200 elements)
5.9125% of extensions found (54868 elements)
11.4329% of extensions found (49841 elements)
3.1451% of extensions found (3208 elements)
22.1814% of extensions found (221814 elements)
12.4896% of extensions found (20358 elements)
48.9309% of extensions found (489309 elements)
78.1777% of extensions found (781777 elements)
6.91336% of extensions found (64156 elements)
5.30138% of extensions found (3796 elements)
20.3162% of extensions found (203162 elements)
12.6233% of extensions found (20576 elements)
49.6926% of extensions found (496926 elements)
78.8513% of extensions found (788513 elements)
5.91401% of extensions found (54882 elements)
3.50686% of extensions found (3577 elements)
10.5337% of extensions found (17170 elements)
47.1361% of extensions found (471361 elements)
79.4459% of extensions found (794459 elements)
6.13588% of extensions found (56941 elements)
11.2018% of extensions found (18259 elements)
38.0845% of extensions found (380845 elements)
72.6228% of extensions found (726228 elements)
6.02123% of extensions found (55877 elements)
11.4761% of extensions found (18706 elements)
71.2206% of extensions found (712206 elements)
6.61573% of extensions found (61394 elements)
55.3518% of extensions found (553518 elements)
5.75744% of extensions found (53429 elements)
6.08922% of extensions found (56508 elements)
Execution time : 4087s
