ALPHA 0.9
Number of Patterns : 1000
99.96% of extensions found (9996 elements)
87.59% of extensions found (8759 elements)
99.96% of extensions found (9996 elements)
Execution time extension : 73s
Execution time : 192s

ALPHA 0.5
Number of Patterns : 1000
Execution time size 1 pattern: 116s
99.99% of extensions found (9999 elements)
94.11% of extensions found (9411 elements)
64.97% of extensions found (6497 elements)
58.84% of extensions found (5884 elements)
48.76% of extensions found (4876 elements)
36.62% of extensions found (3662 elements)
63.5% of extensions found (6350 elements)
39.77% of extensions found (3977 elements)
44.41% of extensions found (4441 elements)
100% of extensions found (10000 elements)
92.4% of extensions found (9240 elements)
62.13% of extensions found (6213 elements)
40.93% of extensions found (4093 elements)
45.04% of extensions found (4504 elements)
41.71% of extensions found (4171 elements)
39.23% of extensions found (3923 elements)
35.82% of extensions found (3582 elements)
99.94% of extensions found (9994 elements)
85.51% of extensions found (8551 elements)
48.74% of extensions found (4874 elements)
46.73% of extensions found (4673 elements)
44.88% of extensions found (4488 elements)
31.8% of extensions found (3180 elements)
35.4% of extensions found (3540 elements)
100% of extensions found (10000 elements)
94.12% of extensions found (9412 elements)
66.94% of extensions found (6694 elements)
42.65% of extensions found (4265 elements)
29.95% of extensions found (2995 elements)
41.07% of extensions found (4107 elements)
99.99% of extensions found (9999 elements)
94.51% of extensions found (9451 elements)
67.11% of extensions found (6711 elements)
45.59% of extensions found (4559 elements)
42% of extensions found (4200 elements)
99.99% of extensions found (9999 elements)
92.44% of extensions found (9244 elements)
60.08% of extensions found (6008 elements)
52.55% of extensions found (5255 elements)
99.94% of extensions found (9994 elements)
88.01% of extensions found (8801 elements)
62.28% of extensions found (6228 elements)
99.95% of extensions found (9995 elements)
83.57% of extensions found (8357 elements)
99.96% of extensions found (9996 elements)
Execution time extension : 72s
Execution time : 189s

ALPHA 0.4
Number of Patterns : 1000
Execution time size 1 pattern: 116s
99.98% of extensions found (9998 elements)
93.55% of extensions found (9355 elements)
71.92% of extensions found (7192 elements)
52.56% of extensions found (5256 elements)
37.39% of extensions found (3739 elements)
54.62% of extensions found (5462 elements)
34.84% of extensions found (3484 elements)
31.17% of extensions found (3117 elements)
37.44% of extensions found (3744 elements)
100% of extensions found (10000 elements)
93.66% of extensions found (9366 elements)
71.57% of extensions found (7157 elements)
37.53% of extensions found (3753 elements)
41.3% of extensions found (4130 elements)
34.78% of extensions found (3478 elements)
37.24% of extensions found (3724 elements)
38.86% of extensions found (3886 elements)
99.99% of extensions found (9999 elements)
91.22% of extensions found (9122 elements)
46.34% of extensions found (4634 elements)
41.17% of extensions found (4117 elements)
39.49% of extensions found (3949 elements)
40.2% of extensions found (4020 elements)
39.24% of extensions found (3924 elements)
100% of extensions found (10000 elements)
96.63% of extensions found (9663 elements)
72.7% of extensions found (7270 elements)
50% of extensions found (5000 elements)
32.81% of extensions found (3281 elements)
37.72% of extensions found (3772 elements)
100% of extensions found (10000 elements)
94.25% of extensions found (9425 elements)
48.49% of extensions found (4849 elements)
46.01% of extensions found (4601 elements)
41.96% of extensions found (4196 elements)
99.99% of extensions found (9999 elements)
89.51% of extensions found (8951 elements)
60.18% of extensions found (6018 elements)
38.16% of extensions found (3816 elements)
99.91% of extensions found (9991 elements)
87.17% of extensions found (8717 elements)
59.69% of extensions found (5969 elements)
99.91% of extensions found (9991 elements)
85.13% of extensions found (8513 elements)
99.97% of extensions found (9997 elements)
Execution time extension : 71s
Execution time : 187s

ALPHA 0.3
Number of Patterns : 1000
Execution time size 1 pattern: 117s
99.98% of extensions found (9998 elements)
95.64% of extensions found (9564 elements)
61.9% of extensions found (6190 elements)
56.88% of extensions found (5688 elements)
42.54% of extensions found (4254 elements)
40.53% of extensions found (4053 elements)
40.83% of extensions found (4083 elements)
28.08% of extensions found (2808 elements)
37.65% of extensions found (3765 elements)
100% of extensions found (10000 elements)
90.28% of extensions found (9028 elements)
61.13% of extensions found (6113 elements)
52.19% of extensions found (5219 elements)
37.33% of extensions found (3733 elements)
50.07% of extensions found (5007 elements)
27.19% of extensions found (2719 elements)
45.86% of extensions found (4586 elements)
99.96% of extensions found (9996 elements)
90.36% of extensions found (9036 elements)
60.06% of extensions found (6006 elements)
61.48% of extensions found (6148 elements)
45.73% of extensions found (4573 elements)
41.55% of extensions found (4155 elements)
39.2% of extensions found (3920 elements)
99.98% of extensions found (9998 elements)
95.42% of extensions found (9542 elements)
62.65% of extensions found (6265 elements)
45.43% of extensions found (4543 elements)
48.01% of extensions found (4801 elements)
40.21% of extensions found (4021 elements)
100% of extensions found (10000 elements)
96.85% of extensions found (9685 elements)
70.2% of extensions found (7020 elements)
49.27% of extensions found (4927 elements)
48.78% of extensions found (4878 elements)
99.99% of extensions found (9999 elements)
91.33% of extensions found (9133 elements)
68.22% of extensions found (6822 elements)
39.85% of extensions found (3985 elements)
99.88% of extensions found (9988 elements)
87.69% of extensions found (8769 elements)
60.86% of extensions found (6086 elements)
99.9% of extensions found (9990 elements)
88.12% of extensions found (8812 elements)
99.97% of extensions found (9997 elements)
Execution time extension : 76s
Execution time : 194s

ALPHA 0.2
Number of Patterns : 1000
Execution time size 1 pattern: 117s
99.96% of extensions found (9996 elements)
94.99% of extensions found (9499 elements)
64.34% of extensions found (6434 elements)
61.74% of extensions found (6174 elements)
44.64% of extensions found (4464 elements)
42.52% of extensions found (4252 elements)
52.02% of extensions found (5202 elements)
42.55% of extensions found (4255 elements)
53.22% of extensions found (5322 elements)
100% of extensions found (10000 elements)
92.54% of extensions found (9254 elements)
70.39% of extensions found (7039 elements)
46.77% of extensions found (4677 elements)
33.37% of extensions found (3337 elements)
42.91% of extensions found (4291 elements)
25.34% of extensions found (2534 elements)
39.14% of extensions found (3914 elements)
99.99% of extensions found (9999 elements)
93.24% of extensions found (9324 elements)
64.13% of extensions found (6413 elements)
58.14% of extensions found (5814 elements)
41.65% of extensions found (4165 elements)
27.64% of extensions found (2764 elements)
43.71% of extensions found (4371 elements)
100% of extensions found (10000 elements)
87.85% of extensions found (8785 elements)
54.33% of extensions found (5433 elements)
37.81% of extensions found (3781 elements)
16.49% of extensions found (1649 elements)
33.77% of extensions found (3377 elements)
100% of extensions found (10000 elements)
92.64% of extensions found (9264 elements)
69.11% of extensions found (6911 elements)
57.39% of extensions found (5739 elements)
43.84% of extensions found (4384 elements)
99.99% of extensions found (9999 elements)
92.43% of extensions found (9243 elements)
60.75% of extensions found (6075 elements)
47.21% of extensions found (4721 elements)
99.95% of extensions found (9995 elements)
86.57% of extensions found (8657 elements)
58.35% of extensions found (5835 elements)
99.89% of extensions found (9989 elements)
86.07% of extensions found (8607 elements)
99.96% of extensions found (9996 elements)
Execution time extension : 78s
Execution time : 196s

ALPHA 0.1
Number of Patterns : 1000
Execution time size 1 pattern: 118s
99.98% of extensions found (9998 elements)
87.65% of extensions found (8765 elements)
60.72% of extensions found (6072 elements)
46.82% of extensions found (4682 elements)
42.94% of extensions found (4294 elements)
39.43% of extensions found (3943 elements)
35.25% of extensions found (3525 elements)
34.98% of extensions found (3498 elements)
44.92% of extensions found (4492 elements)
100% of extensions found (10000 elements)
92.86% of extensions found (9286 elements)
67.89% of extensions found (6789 elements)
43.25% of extensions found (4325 elements)
43.37% of extensions found (4337 elements)
44.79% of extensions found (4479 elements)
42.05% of extensions found (4205 elements)
40.56% of extensions found (4056 elements)
100% of extensions found (10000 elements)
90.93% of extensions found (9093 elements)
65.01% of extensions found (6501 elements)
53.37% of extensions found (5337 elements)
42.77% of extensions found (4277 elements)
32.22% of extensions found (3222 elements)
43.48% of extensions found (4348 elements)
100% of extensions found (10000 elements)
91.14% of extensions found (9114 elements)
54.26% of extensions found (5426 elements)
43.3% of extensions found (4330 elements)
38.54% of extensions found (3854 elements)
35.44% of extensions found (3544 elements)
99.99% of extensions found (9999 elements)
94.58% of extensions found (9458 elements)
63.83% of extensions found (6383 elements)
44.43% of extensions found (4443 elements)
50.13% of extensions found (5013 elements)
99.99% of extensions found (9999 elements)
91.32% of extensions found (9132 elements)
67.75% of extensions found (6775 elements)
54.45% of extensions found (5445 elements)
99.93% of extensions found (9993 elements)
88.73% of extensions found (8873 elements)
52.66% of extensions found (5266 elements)
99.91% of extensions found (9991 elements)
88.04% of extensions found (8804 elements)
99.95% of extensions found (9995 elements)
Execution time extension : 73s
Execution time : 192s
